Created_at,Id,Full_text,Location,User_description,Date
Thu Jul 04 12:11:49 +0000 2019,1146753477357518848,"RT @JPIAMR: Check this #GARDP webinar, happening on July 9: ""Infection models for antimicrobial R&amp;D: Intracellular models"".
Presented by @L…","GARDP, Geneva & Uni.Birmingham","Director of Scientific Affairs, Global Antibiotic R&D Partnership, and Professor of Microbiology, University of Birmingham, UK. Views my own",2019-07-04
Thu Jul 04 11:25:40 +0000 2019,1146741865607307265,"Another contribution to the spec. issue of #BIOETHICS on the #ethics of #AntibioticResistance, edited by our ethics group in @CARe_GU, is online! And I just submitted our editorial introduction as well!

More here: https://t.co/TeqdTngrRo
 #AntimicrobialResistance #abr #amr #law https://t.co/C3UGXOj1Eh","Gothenburg, Sweden","#Philosophy professor at @uniofgothenburg, #Bioethics researcher & blogger. Active in @CelamGU & @CARe_GU. No mercy for trolls, bots & netwarriors.",2019-07-04
Thu Jul 04 11:14:00 +0000 2019,1146738929539985409,"Check this #GARDP webinar, happening on July 9: ""Infection models for antimicrobial R&amp;D: Intracellular models"".
Presented by @LauraPiddock.

Register here:
https://t.co/gKPErKSGRh
#AMR #Antibioticresistance #Webinar #research #JPIAMR",,The Joint Programming Initiative on Antimicrobial Resistance. Coordinates Strategic #AMR Research and Funding. 27 member nations. #Antibioticresistance #Global,2019-07-04
Thu Jul 04 10:22:03 +0000 2019,1146725854313009152,"I have pledged to be an #AntibioticGuardian to #KeepAntibioticsWorking. Our actions protect #antibiotics. Join me at https://t.co/I4s92g2QtD
#AntibioticResistance","Auckland, New Zealand",Health psych/gratitude and diabetes researcher🎓. Country music lover🎶. On a mission to make the world a happier and more loving place. #blessednotstressed,2019-07-04
Thu Jul 04 10:20:00 +0000 2019,1146725337860071425,"We aim to deliver innovative treatments for infectious diseases, while making sure that they are fully safe and do not contribute to #AntibioticResistance. Read more about our mission here &gt; https://t.co/Xi0VznZzwx.","Hertfordshire, UK",Our mission is to overcome the increasing problem of antibiotic resistance.,2019-07-04
Thu Jul 04 10:11:52 +0000 2019,1146723293111758849,"RT @CDDEP: Interested in #research, #policy, and solutions to an urgent threat to global health, #AntibioticResistance? 💪 Work with a team…","Bucharest, Romania",Medical Students' representative and health advocate @Romania - Youth Delegate to #WHA72 - Liaison Officer @IFMSA - President @FasmR - Opinions of my own,2019-07-04
Thu Jul 04 09:57:15 +0000 2019,1146719614195372032,"RT @JPIAMR: Come see JPIAMR at FEMS 2019!
Members of JPIAMR will attend #FEMS2019 from July 7-11 in Glasgow, Scotland. Please stop by our p…",,This is Wawes a scientific network with 28 partners from 16 countries focusing on surveillance of antimicrobial resistance in wildlife and the environment,2019-07-04
Thu Jul 04 09:47:11 +0000 2019,1146717079342669824,"RT @longitude_prize: ""If you ask me, how big a priority is antibiotic resistance, I’ll give you a different answer every hour. When I’m see…","GARDP, Geneva & Uni.Birmingham","Director of Scientific Affairs, Global Antibiotic R&D Partnership, and Professor of Microbiology, University of Birmingham, UK. Views my own",2019-07-04
Thu Jul 04 09:46:33 +0000 2019,1146716920902668294,"RT @JPIAMR: Come see JPIAMR at FEMS 2019!
Members of JPIAMR will attend #FEMS2019 from July 7-11 in Glasgow, Scotland. Please stop by our p…","GARDP, Geneva & Uni.Birmingham","Director of Scientific Affairs, Global Antibiotic R&D Partnership, and Professor of Microbiology, University of Birmingham, UK. Views my own",2019-07-04
Thu Jul 04 09:05:02 +0000 2019,1146706473696690176,"""If you ask me, how big a priority is antibiotic resistance, I’ll give you a different answer every hour. When I’m seeing my 50th patient on the ward round, flagging, tired, I’ll roll my eyes."" - Life as a doctor in South Sudan. https://t.co/hV0kMzJ2Oh #amr #antibioticresistance https://t.co/Rq1nXfTbTa",,Longitude Prize is a challenge to tackle antibiotic resistance. A £10m prize fund with an £8m payout to the winner. By @nesta_uk w/ @innovateUK RT≠endorsement,2019-07-04
